text,text_hash,label,label_predicted,label_triggers,text_hash
A relative boyfriend be cheat on her and she doesn't know. But I do. And he know i know.,1515200006,betrayal,cheating,cheat_59000100,1515200006
A shady guy from an apartment give me a bag of chip and I take them.,843847517,harm,harm,synset-bit-noun-2,843847517
About a month ago I post a confession about me like a take man..,3660387889,harm cheating,<no response>,<no response>,3660387889
Abuse Survivor Fears to Tell New Girlfriend About His Past.,2136347899,harm,<damaged>,<damaged>,2136347899
Abusive Behavior Can Predict Mate's Potential for Violence.,2093946168,harm,<no response>,<no response>,2093946168
Adam totally forget about the flower and let them wilt and die.,3865843400,cheating,harm,death die_48020000 synset-die-verb-1,3865843400
Affair With Sister's Boyfriend Gives Both Pleasure and Pain.,2402882897,harm betrayal degradation cheating subversion,harm,synset-pain-noun-1,2402882897
After 25 year my family have be rip apart RIGHT before the holidays.,482219902,harm betrayal,harm,synset-rend-verb-1,482219902
"After 5+ year of gradually erode away my interpersonal relationship and strictly limit my social interactions, I can finally admit..",2527604866,betrayal,betrayal oppression,synset-restrict-verb-3 revealsecret,2527604866
"After I fell out with my ex-best friend, I start like a boy she really hated.",312154841,betrayal,harm,hate_31020100,312154841
After I pay the fee I go through a thorough online training.,1980634455,subversion,<no response>,<no response>,1980634455
"After a few months, she realize her student loan debt be too high.",347805565,cheating,<no response>,<no response>,347805565
"After a week, he still didn't know who have steal his walkie talkie.",825563150,harm,<no response>,<no response>,825563150
"After calling, Dan be ashamed because he have insufficient funds.",4112848740,harm,<no response>,<no response>,4112848740
After everyone go home Matt felt very bad about what they did.,3348502101,subversion,<no response>,<no response>,3348502101
"After that day, Grahame decide to not risk his life when performing.",1030690923,harm,<no response>,<no response>,1030690923
"After the ups and down of acne, I think now that I hate myself more than ever.",748297012,harm,fairness harm,synset-hate-verb-1 hate_31020100 regard,748297012
After the wedding thing be never the same between Bill and his dad.,880940985,betrayal subversion,<damaged>,<damaged>,880940985
"After two week of no work, Marcus call his ex-boss to come back.",3729790572,cheating subversion,<no response>,<no response>,3729790572
"After year of Extreme verbal and okay physical abuse, I’m leave with intrusive homocidal thought that I’m get use to.",3362008517,harm,fairness harm,synset-maltreatment-noun-1 abusing regard,3362008517
After year of abuse today be the day I call quits and beat my brother over the head with a vacuum clean.,2225415364,harm betrayal,harm,causeharm synset-maltreatment-noun-1 abusing synset-beat-verb-1,2225415364
Again why be manifest-decoy allow to troll posts? He enjoy the down votes.,4032371433,harm cheating,<damaged>,<damaged>,4032371433
Alan have leave them in the ignition from the night before.,2041451845,cheating,<no response>,<no response>,2041451845
Albert smoke cigarette even though his parent didn't approve.,3257734818,harm,authority harm,synset-parent-noun-1 synset-approve-verb-1,3257734818
Alcohol have calorie be the only thing stop me from go back to alcoholism.,3937540793,harm,<damaged>,<damaged>,3937540793
Alex be tell by his parent to not mess with their computer at all.,338958267,harm cheating,authority care,synset-parent-noun-1 synset-computer-noun-1,338958267
Alex be vomit and in pain as his father drive him to the ER.,2138313894,harm,care harm,synset-vomit-verb-1 synset-pain-noun-1,2138313894
All I want to do be be high off something 100% of the time.,1158615891,harm,<no response>,<no response>,1158615891
All my friend be too scared to sleep over because of my abusive mother.,2382305690,degradation harm,care,synset-mother-noun-1,2382305690
All the police officer rush to grab the guy and they catch him.,3526694504,subversion,care,synset-police-noun-1 synset-policeman-noun-1,3526694504
All these news story about school shooting be make me want to shoot up a school.,2841189660,harm,<no response>,<no response>,2841189660
Allie want a credit card because all of her friend have one.,2280789289,cheating subversion,<no response>,<no response>,2280789289
"Almost 100% sure I have ADHD, it is ruin my life, and will not have it diagnosed.",581638866,harm degradation,<no response>,<no response>,581638866
Almost everything I do be to mess with people and embarrass them.,239671204,harm,<no response>,<no response>,239671204
Am I ready to enter another relationship after abuse my ex-wife 10 year ago?.,846928676,harm,harm,synset-maltreatment-noun-1,846928676
Am I the only one who doesn't care what go on in other people's relationships? Mainly cheating.,919151096,cheating,<no response>,<no response>,919151096
Amber Alert Jump Starts Swift Response to Child Abductions.,2063406426,harm,<no response>,<no response>,2063406426
Amy and her parent lose their house because they couldn't pay bills.,1379670199,harm,authority care harm,attack synset-lose-verb-1 synset-parent-noun-1 synset-house-noun-1 lose_13020000,1379670199
An odd experience I have with a cousin that leave me scar and guilty.,1409489026,degradation,<no response>,<no response>,1409489026
An old woman may or may not have call the police on me and my parent still don’t know.,1754603557,harm,authority care,synset-police-noun-1 synset-parent-noun-1,1754603557
Ana only have a dollar left in her account when she is done.,2220627238,harm,<no response>,<no response>,2220627238
"And because Tom be in the front of his row, he collect the tests.",3844478646,cheating,<damaged>,<damaged>,3844478646
And he iscame the first man to have the most food pump out of him.,162207558,harm,care,supply synset-food-noun-1 synset-pump-noun-1,162207558
And he realize that his request for a table be never understood.,3886815031,harm,<no response>,<no response>,3886815031
Andy know the caller be a telemarketer try to sell him a vacation.,466425793,cheating,loyalty,synset-caller-noun-1,466425793
Animal Lover Forced to Choose Between Boyfriend and Her Pets.,2743997850,cheating subversion,fairness oppression,force_59000000 partiality,2743997850
Any time someone be upset with me I amcome a cranky and depress little gremlin.,1818827915,harm,<no response>,<no response>,1818827915
Approximately 300 people nearly die and i think I am the only one who knows.,280828617,harm degradation,fairness harm,death die_48020000 regard synset-die-verb-1,280828617
"As A TRANSGENDER WOMAN NAMED CALEB, I LOVE HAVING A NERD AS MY HUSBAND.",2621051472,cheating,<no response>,<no response>,2621051472
"As I am walking, I saw a piece of crumpled paper on the ground.",2632914340,degradation,<no response>,<no response>,2632914340
"As I grow up, I am taught not to like Indian people. But the truth be that I respect and love their extensive culture and heritage.",2616012377,harm,fairness,synset-respect-verb-1,2616012377
As I sit in the doctor's office I wonder why I am even here.,1752896606,cheating,care,synset-doctor-noun-1,1752896606
As a cop sometimes I seize money from homeless people because I know they will use that money for food or drug.,3295160352,harm cheating,degradation care,synset-bull-noun-5 synset-food-noun-1 synset-drug-noun-1,3295160352
As a hobby I enjoy drive around with my window roll down and verbally abuse overweight woman.,522723870,harm,harm,abusing synset-mistreat-verb-1 abuse_33000000,522723870
As a kid I physically attack my father cause I think he is kidnap my sister.,4231862999,harm subversion,fairness care harm,attack_33000000 synset-attack-verb-1 attack regard,4231862999
"As a kid and young teenager, I am careless about leave container of old food out until they rotted..",3975422886,degradation,care,synset-food-noun-1,3975422886
"As a kid, I give my mom the silent treatment just because she didn't buy me a TMNT action figure.",1628512685,betrayal subversion,care,synset-treatment-noun-1 cure,1628512685
As a prank I sell a fake X box one to some kid on Craigslist.,1845105845,cheating,cheating,synset-bogus-adjectivesatellite-1,1845105845
As a prank whenever I am at a party and there be guy pass out I kick them in the nut while they sleep.,300426123,harm,<no response>,<no response>,300426123
"As a result of his carelessness, he stumble right into a huge patch.",1230444654,harm,care harm,synset-negligence-noun-1 supply synset-spot-noun-5 offenses,1230444654
"As a teenager, myself and my shady friend use to extort a pervert.",216209332,degradation harm,<no response>,<no response>,216209332
"As a transgender women, I feel as though I don’t only deserve rights, but I deserve MORE right than straight white male.",2532256805,cheating,<no response>,<no response>,2532256805
"As an excuse for the day off of work, I tell my manager that my mother have died.",2092637247,betrayal cheating,care harm,death die_48020000 synset-mother-noun-1,2092637247
"As he did, he saw his dog gobble down the last bite of sandwich.",3142719013,harm,<no response>,<no response>,3142719013
"As he is push the weight back up, his shoulder give him pain.",2451248498,harm,harm,synset-pain-noun-1,2451248498
"As she didn't find anything conclusive, she go to a doctor.",1933317356,harm,care,synset-detect-verb-1 synset-doctor-noun-1,1933317356
As some time pass Heather be able to be happy for her cousin.,2523141500,betrayal,<no response>,<no response>,2523141500
"As soon as she left, her kid put her hand on a burning candle.",2635797873,harm,<no response>,<no response>,2635797873
"As soon as she put them on, her heel break and Katie cried.",1637225552,harm,<no response>,<no response>,1637225552
As the username implies: I can't get my prof out of my head!.,2534151402,subversion harm,<no response>,<no response>,2534151402
"As time go on, my moral and value change and I adapt to them.",2227967199,harm cheating,<no response>,<no response>,2227967199
"As well as the normal activities, he would help to campaign for them.",1643256015,cheating,care,help_72000100 assistance synset-help-verb-1,1643256015
"At 16 yr old, i get waste and decide to crash a random adult party..",4268824333,subversion degradation,<no response>,<no response>,4268824333
At 23 I Realized I Might Have Been Molested During a Physical When I Was 10.,2909804685,harm,<no response>,<no response>,2909804685
At one point it break a hip and Jake know what he have to do.,2326336732,harm,<no response>,<no response>,2326336732
At one time in my life I want to become a professional Hitman.,2703627738,harm,harm,synset-gunman-noun-1,2703627738
At school I fart really loudly but everyone think it is this boy and he get send out protest his innocence.,684467934,degradation,fairness,regard,684467934
"At the end of the decade I come out more depressed, sad and heartbroken than I haveever be in my life, this be my reward.",40774191,harm,<no response>,<no response>,40774191
At work she is humiliate because she more non-matching socks.,2931693142,harm degradation,<damaged>,<damaged>,2931693142
Atheists be just edgy manchildren who never grow up out of their heavy metal phase. Actual adult cringe at you.,4065798263,degradation,<no response>,<no response>,4065798263
Attentive Parents Can Prevent Kids Being Left Alone in Cars.,2548503840,harm,<no response>,<no response>,2548503840
Awkward Questions About Sons' Adoption Don't Deserve Answers.,3029866011,harm,care,synset-adoption-noun-1,3029866011
Baby Sitter Gets Scare of Her Life in Late Night Drive Home.,1896617047,harm,<no response>,<no response>,1896617047
Back again. I am so scared. I want this all to be over and I don't know what to do. my paranoia have get so bad.,945694126,harm,<no response>,<no response>,945694126
"Back in grade 10 my friend choke me till I pass out because I didn’t call him the group leader. He blame me for the group split up to this day, 8 year later.",1431320480,harm,loyalty,synset-group-noun-1,1431320480
Barb learn a mean teacher be make life miserable for her son.,2532578693,harm subversion,<no response>,<no response>,2532578693
"Because of Percy Jackson, i think all dyslexic kid could read Greek. It wasn't until I ask my dyslexic friend in high school that I know otherwise.",4235539514,cheating,fairness,regard,4235539514
"Because of some extreme feminist, I have a bad look about every woman complain about inequality.",2363171610,cheating,<no response>,<no response>,2363171610
"Because of the rain, Liam and Owen have to stay inside until bedtime.",1230772332,harm,<no response>,<no response>,1230772332
Becka try to bribe her way out of it but be arrest for DUI.,1828066385,harm,authority oppression,arrest synset-apprehension-noun-4,1828066385
Been have an inappropriate relationship with my cousin since we are about 6. Both female.,3442090043,harm subversion degradation,<no response>,<no response>,3442090043
Before I get addict to Minecraft I think it is call Mindcraft.,2749240740,harm,fairness,regard,2749240740
Benjamin would go to school and take his anger out on his classmates.,1823152401,harm cheating subversion,<no response>,<no response>,1823152401
Beyonce be overrated. Ariana Grande be overrated. Taylor Swift be overrated. Justin Bieber be overrated.,2884511093,harm,<no response>,<no response>,2884511093
Bill and Jane get in the car and they start off for Jane's school.,4097382094,degradation harm subversion,<no response>,<no response>,4097382094
Bill then unplug Jim's controller and knock his character out.,3357021868,cheating,harm,synset-knock-verb-1 causeharm,3357021868
Bill worry that the man would hurt him and the other hostages.,3366852259,harm,harm,causeharm synset-ache-verb-3 hurt_40081000 experiencebodilyharm,3366852259
Body sham a friend of my wife and want to get the money back.,2484802895,cheating,<no response>,<no response>,2484802895
Bone have be poke out of my gum for week and im too scar to get it check.,2832013630,harm,harm,synset-jab-verb-1 causeharm,2832013630
Both her and her husband have always struggle with finances.,2534938135,harm,harm,synset-fight-verb-3,2534938135
"Boycott Hollywood and their Anti-American, fantasy world propaganda!.",2204703076,betrayal degradation,<no response>,<no response>,2204703076
Boyfriend Fights Woman's Effort to End Her 10-Year Obsession.,2621314341,harm cheating betrayal subversion,<damaged>,<damaged>,2621314341
Boyfriend be mean to me so I am use him for his money until I graduate.,2032212167,harm,<no response>,<no response>,2032212167
Boyfriend'S Cell Phone Fantasy Could Become Legal Nightmare.,2269254977,harm,<no response>,<no response>,2269254977
Boyfriend'S Chronic Conditions Prompt Partner to Weigh Options.,3869054764,harm,<no response>,<no response>,3869054764
Breadwinner Is Out of Patience for Her Dysfunctional Family.,2489062845,harm cheating,<no response>,<no response>,2489062845
Bridesmaid in Love With Groom Asks if She Should Speak Now.,1913066632,degradation,<no response>,<no response>,1913066632
Bro hat my parent and I think he want to make me do the same.,2365789421,harm betrayal,authority care,synset-parent-noun-1 synset-hat-noun-1,2365789421
Brother Can't Handle the Truth a Paternity Test May Reveal.,1843991741,cheating betrayal,<damaged>,<damaged>,1843991741
Brother'S Fiancee Is Unaware of His Hidden Opiate Addiction.,2055738607,harm subversion,<no response>,<no response>,2055738607
"Bullying be not as bad as alarmist make it seem, it is actually a normal and healthy part of the grow experience.",4033620098,harm cheating,<no response>,<no response>,4033620098
"Bunch of people be planning, include me to beat someone up.",2035094803,harm,harm,synset-beat-verb-1,2035094803
"But 20 minute into his nap, the doorbell rang and wake him up.",2645562737,harm,<damaged>,<damaged>,2645562737
But Joe call his brother one day and tell them they should play.,3712816863,harm betrayal,loyalty,synset-play-verb-1,3712816863
"But as he have sleep most of the day, he have no clue what to write.",666441620,harm,<no response>,<no response>,666441620
But he discover that out you need permit and such to open a school.,966858781,subversion,<no response>,<no response>,966858781
"But in the end, he heart melted, she feed the cat and keep it with her.",1667569722,harm,care oppression,synset-keep-verb-1 synset-feed-verb-1,1667569722
"But one day, she forget her pill and stay awake during the flight.",159651714,harm,<no response>,<no response>,159651714
Cancer Survivor Wins Sympathy for Her Reluctance to Go Nude.,2752910748,harm degradation,<no response>,<no response>,2752910748
Carol'S roommates convince her to let them pierce her ears.,2261849437,harm,<no response>,<no response>,2261849437
Cat fish a friend to make her breakup with her emotionally abusive boyfriend.,860101709,cheating,<no response>,<no response>,860101709
Cathy then realize that her daughter have an imaginary friend.,3479705299,harm,<no response>,<no response>,3479705299
Cathy vow if she return to India she would ride an elephant again.,432281514,harm,<no response>,<no response>,432281514
"Caught my husband cheating, he doesn't know I am guilty of wander first.",2899646904,harm betrayal,<damaged>,<damaged>,2899646904
Cell Phone Opponents Caught Driving While Being Distracted.,2153715043,harm cheating,<no response>,<no response>,2153715043
"Charles shout out, look like you teach your dog to hate blacks?.",4148369153,harm,harm,synset-hate-verb-1 hate_31020100,4148369153
"Cheats on my husband with his son, feel hella bad but it’s exciting.",2185959909,betrayal degradation harm,<no response>,<no response>,2185959909
Childhood Molestation Gives Mom Extra Cause to Be Vigilant.,2314933552,harm,<no response>,<no response>,2314933552
Children Left Behind 30 Years Ago Still Want to Contact Mom.,1870992485,betrayal,<no response>,<no response>,1870992485
Church Usher's Greeting Leaves Girl and Family at a Loss for Words.,632690546,harm,<no response>,<no response>,632690546
Civility in Children's Presence Helps Lessen Pain of Divorce.,2931168730,harm,<no response>,<no response>,2931168730
Clerk Questions If She Should Report Potential Child Abuse.,2131760425,cheating,<damaged>,<damaged>,2131760425
Co-Workers Rally Around One Cancer Patient More Than Another.,2671318426,harm,<no response>,<no response>,2671318426
Colleagues Look for Intervention to Clear the Air Around Co-Worker.,1142233117,harm cheating,<no response>,<no response>,1142233117
Colleen discuss her concern about the program with Owen's teacher.,957159509,subversion,<no response>,<no response>,957159509
College Neatnik Sacrifices Fun for a Squeaky Clean Apartment.,2849248755,harm,<no response>,<no response>,2849248755
College Student Living at Home Can't Escape Smothering Mom.,2011043039,harm,harm,killing smother_42030000,2011043039
Common Sense and Courtesy Keep Bicyclists Safe on the Road.,2171344136,betrayal degradation,<no response>,<no response>,2171344136
Confession: the reason I don't ask out girl be because I feel like I am never good enough and that they can always do good.,1956915999,harm,<no response>,<no response>,1956915999
Constant State of Fear Around Men Is Abuse Victim's Legacy.,1887179901,harm degradation,<no response>,<no response>,1887179901
Cookie be fine with one shot but Leslie dare her to drink more.,3436189280,harm subversion,harm,synset-shot-noun-2,3436189280
Couple Weighs Reconciliation Five Years After Violent Split.,2756908542,harm,<no response>,<no response>,2756908542
Couple'S Abortion Decision Is Nobody's Business but Theirs.,2008093988,harm degradation subversion,<no response>,<no response>,2008093988
Couple'S Future Hinges on Woman's Ability to Resolve Past Anger.,3760264857,harm,<no response>,<no response>,3760264857
Couple'S Oft-Chilly Marriage Is Subzero Following Election.,1928664382,harm,<no response>,<no response>,1928664382
Dad Drops by College Too Often for Independence Minded Kids.,2095191305,subversion,<no response>,<no response>,2095191305
Damien be play outside one day while his parent be arguing.,2127959378,harm betrayal,authority,synset-parent-noun-1,2127959378
Dan could not wait until he could play Farmville on his phone.,3228702306,harm,care loyalty,synset-telephone-noun-1 synset-play-verb-1,3228702306
Dan have very low self-esteem because of the zit on his face.,2812024237,harm,<no response>,<no response>,2812024237
Dani immediately send a breakup letter to her boyfriend the next day.,2045057350,harm degradation,<no response>,<no response>,2045057350
Daughter Refuses to Play Part in Mom's Reconciliation Drama.,2479822210,betrayal,loyalty,synset-play-verb-1,2479822210
Daughter Wants to Shield Her Kids From Their Toxic Grandma.,1970607303,harm degradation,<no response>,<no response>,1970607303
Daughter'S Declaration of Love Rocks Relationship With Mom.,2154501447,subversion harm betrayal,<no response>,<no response>,2154501447
Daughter'S Teen Boyfriend Causes Strain In Mom's Relationship.,3066893868,betrayal,<no response>,<no response>,3066893868
Daughter'S Time With Parents Is Filled With Pain and Regret.,2125272273,harm,<no response>,<no response>,2125272273
Dave and his father always go to the opening game together.,2015434071,cheating,<no response>,<no response>,2015434071
"Dear personal trainer at gym : in a world of knockoffs, you are authentic gucci.",2272664746,cheating,<no response>,<no response>,2272664746
"Delila be sure her husband be cheat on her, he often smelled.",2553746791,cheating betrayal,<damaged>,<damaged>,2553746791
"Despite Two Suicide Attempts, Family Insists Woman Is 'Fine'.",2892436824,harm,<no response>,<no response>,2892436824
"Devin make it out safely, but his whole house sadly go up in flames.",1189025857,harm,care,synset-house-noun-1,1189025857
Devin realize she didn't have her sweater when she get off.,2149586198,cheating,<no response>,<no response>,2149586198
Didn'T feel like go to work so I leave my 5-figure salary job for good.,1649154143,cheating,<no response>,<no response>,1649154143
Disapproval of Modern Morals Ignites a Family War of Words.,2296583456,harm betrayal,<no response>,<no response>,2296583456
Dispute Over Toilet Threatens to Wash Family Harmony Down the Drain.,1519720581,betrayal,harm,threaten_31010000,1519720581
Divorced Couple Still Arguing About The End Of Their Marriage.,3136230856,harm betrayal,<no response>,<no response>,3136230856
Divorced Dad's Poor Hygiene Causes a Stink for His Ex Wife.,1754928172,betrayal degradation,<no response>,<no response>,1754928172
Drama Ensues When Granddad Objects to Trash Left in His Car.,2254771385,harm cheating,<no response>,<no response>,2254771385
Drama Teacher Discovers Forgotten Video of Student Who Died.,2610238865,cheating,harm,death die_48020000,2610238865
"Drinking at my company party while my girlfriend be at home, concern about her grandpa be rush in the hospital.",3835242593,harm,<no response>,<no response>,3835242593
Dropped outta college to go to concert &amp; music festival all over the nation and do mind alter drug instead.,3531614252,harm degradation,degradation care,synset-drug-noun-1,3531614252
During final week at my college I usually airdrop random people in my class picture of puppy and funny memes... sorry if I’m annoy you.,2104767066,harm,<no response>,<no response>,2104767066
"During my low point of my Xanax addiction, I have people convince I am a music manager.",1453989579,harm cheating,<no response>,<no response>,1453989579
Eli decide to double the value of the donation when he file taxes.,329455513,cheating,care,synset-file-verb-1,329455513
Emailed Photo of Ailing Mom Is Reason to Restrict Visitors.,1843336470,cheating,oppression,inhibitmovement restrict_76000000,1843336470
Emptiness of Man's Apartment Gives Woman Unsettled Feeling.,2209617264,harm,<no response>,<no response>,2209617264
Endless Cycle Of Television News Turns Girlfriend Into News Junkie.,977475648,harm,<no response>,<no response>,977475648
Eric meet a woman and marry her 5 year after his wife died.,1741296762,harm betrayal,loyalty harm,death cometogether die_48020000,1741296762
Eventually he realize he get his friend's glass by mistake.,2352289143,harm,care,synset-glass-noun-1,2352289143
"Every day I dream about be a girl, but I am too scar to do anything about it..",413014690,harm,<no response>,<no response>,413014690
Every day when I come home from work I kick my autistic roommate in the nut.,233052961,harm,<no response>,<no response>,233052961
"Every night, i go on long walk around my neighborhood and pretend i have friend.",2284985548,cheating,<no response>,<no response>,2284985548
Every once in a while I sincerely wish my ex would drop dead.,2698188211,harm,<no response>,<no response>,2698188211
Every post in which I havereferred to my ex boyfriend be a lie.,3688765040,cheating,<no response>,<no response>,3688765040
Every time I eat I have to watch a programme like my 600lb life to remind me to not eat bad food.,1523589406,harm,care,synset-food-noun-1,1523589406
Every time I go to the bar I am tempt to cheat on my girlfriend.,3314423347,harm betrayal,cheating,cheat_59000100,3314423347
Every time I put my lunch tray away in the cafeteria.. I leave the silverware on the tray.,2858688494,degradation,care,synset-lunch-noun-1,2858688494
"Every time I’m in the grocery store and I go through check out, I impulse buy candy.",1894391638,harm,<no response>,<no response>,1894391638
"Every time Jan and Susan go out to lunch, Susan show up late.",2580944236,cheating,care,synset-lunch-noun-1,2580944236
Every time i hear a plane go by i think its a nuke thats go to drop in my city.,1198529383,harm,fairness,regard,1198529383
Every time my dad cough I want to throw a toaster at his head.,3036354006,harm,<no response>,<no response>,3036354006
Everyone at my highschool throw party after blood drive and I am only now realize how bad that is.,51585933,harm degradation,<no response>,<no response>,51585933
"Everyone believe I am a morally Christian woman, but I have do thing I shouldnt.",2286492770,cheating,<damaged>,<damaged>,2286492770
"Everyone keep say Emma look slimmer, but she didn't see it.",2215843047,harm,care oppression,synset-keep-verb-1,2215843047
Everyone think I am be manipulative by say I am suicidal just because I didnt go through with it.,2891653822,harm,fairness,regard,2891653822
Everyone think I’m good at what I do and that I have it altogether but..,106830511,cheating,fairness,regard,106830511
"Everything feel unreal. I normally depersonalize only in traumatic times, but now it creep info my everyday relationship.",3292540218,harm,<no response>,<no response>,3292540218
Everytime I laugh out loud the first thing I say be ''I am sorry'' and I am so sick of it.,2401115689,harm degradation,<no response>,<no response>,2401115689
Everytime I see an overweight jogger on the street I yell at them fat insult.,1150688209,harm,<no response>,<no response>,1150688209
Ex boyfriend lock up in jail since 3 year and I never ever felt that much happy.,1930370082,subversion,<damaged>,<damaged>,1930370082
Ex husband cheat with several woman for several years... ALL I WANT IS HIM.,4243331331,harm cheating,subversion harm,synset-swindle-noun-1 offenses,4243331331
Ex manipulate his power to berate me over anger issue that be always his own.,1302535176,harm,authority,synset-power-noun-1,1302535176
Ex-Wife Continues to Ask Man She Left for Help Paying Her Bills.,3377075666,harm betrayal cheating,<no response>,<no response>,3377075666
"Falsified an health insurance claim, now get audit and freak out.",257562484,cheating betrayal,<no response>,<no response>,257562484
Family Keeps Patriarch on a Pedestal Despite Abusive Behavior.,3201701476,degradation,<no response>,<no response>,3201701476
Family Looks For A Graceful Exit From  Wedding Festivities.,1704072393,harm betrayal,<no response>,<no response>,1704072393
Family Pet-Sitter Helps Herself to Homeowner's Possessions.,2194150849,cheating,<no response>,<no response>,2194150849
Family'S Tolerance of Verbal Abuse Is Red Flag for Girlfriend.,2789152135,harm,<no response>,<no response>,2789152135
Fiance Comes Clean About Drug Use One Month Before Wedding.,1645876326,harm cheating betrayal,<no response>,<no response>,1645876326
Fiance'S Failure to Back His Bride Bodes Ill for Their Future.,2462061857,cheating,<no response>,<no response>,2462061857
Finally I place him in a pile of pillow on the floor and he calmed.,365434686,harm,loyalty harm,synset-floor-noun-1 cometogether synset-pile-noun-1,365434686
Finally she manage to get the dog and bring her back inside.,2356811062,harm subversion,<no response>,<no response>,2356811062
Fireworks in Upstairs Apartment Keep Neighbor Awake at Night.,3251770932,harm,<no response>,<no response>,3251770932
Firm Limits on Cellphone Use Should Curb Girl's Compulsion.,1990071583,harm,<no response>,<no response>,1990071583
First cigarette make him quickly realize he is bad be a bad boy.,4216067746,harm,<no response>,<no response>,4216067746
First day class intros: My response to “tell us one interesting fact about you” be a lie.,2128618360,harm cheating,<no response>,<no response>,2128618360
"Fit, Healthy and Happy Teens Don't Need to Check the Scale.",1464669155,harm,<no response>,<no response>,1464669155
For 30 year now I have be lead believe my mom be bang Santa behind my dad’s back and I could never figure out why everyone be nonchalant about the whole thing.,3302766997,cheating,<damaged>,<damaged>,3302766997
"For Boss, Hands-Free Phone Is Dangerous Distraction While Driving.",4228585316,subversion harm,<no response>,<no response>,4228585316
"For my egotistical self, I break an innocent person's heart by ghost her.",3382254121,harm cheating,fairness harm,experiencebodilyharm causeharm synset-innocent-adjective-1 break_45010000,3382254121
"For the first time ever in my work life, I walk off a job part way into the shift. I have no regrets.",27206416,cheating subversion,<no response>,<no response>,27206416
For the next week I walk with a limp because my toe be jammed.,2857375140,harm,<damaged>,<damaged>,2857375140
For the past 4 year I have be pretend to place football bet for my friend when in reality I pocket the money for myself.,3835964039,cheating,<no response>,<no response>,3835964039
"For two weeks, he practice his routine for his friend and family.",71178101,cheating,<no response>,<no response>,71178101
"For year as a defense mechanism, I find way not to respond to how be you? so I wouldn't be lie.",917905621,cheating betrayal,care,synset-defense-noun-1 synset-detect-verb-1 defend,917905621
Forbes 30 under 30 Tech Millionaire Chris Kelsey Reveals My Biggest Scams.,2865699207,cheating,betrayal,revealsecret,2865699207
Francine lock the child in their room and give them no food.,2486179172,harm subversion,care,synset-food-noun-1,2486179172
Frank Discussion Can Shore Up Family's Eroding Relationship.,2414220723,harm,<no response>,<no response>,2414220723
Frequently when I want people to like me and they tell unfunny joke I think of good joke and laugh sincerely.,2155095916,harm betrayal,fairness,regard,2155095916
Friend Not Invited to Small Wedding Still Wants to Send a Gift.,3416397302,cheating,<no response>,<no response>,3416397302
Friend Reaches End Of The Road With Cheap Traveling Companion.,2637305250,betrayal,<no response>,<no response>,2637305250
Friend With Early Dementia Avoids Helping Around the House.,2066552098,harm,care,help_72000100 assistance,2066552098
Friend'S fiancé make an advance on me on our way to her birthday party.,3158186537,betrayal,<no response>,<no response>,3158186537
Friends Refuse to Play Their Part in Drama Queen's Illness.,1941443774,cheating,loyalty,synset-play-verb-1,1941443774
Friends be talk behind my back and now I don't trust anyone who I hangout with.,1497897967,harm betrayal,<no response>,<no response>,1497897967
