text,text_hash,label,label_predicted,label_triggers,text_hash.1,label_count,label_predicted_count,label_count_matched
Emailed Photo of Ailing Mom Is Reason to Restrict Visitors.,1843336470,cheating,oppression,inhibitmovement restrict_76000000,1843336470,1,1,0
Eric meet a woman and marry her 5 year after his wife died.,1741296762,harm betrayal,loyalty harm,death cometogether die_48020000,1741296762,2,2,1
Eventually he realize he get his friend's glass by mistake.,2352289143,harm,care,synset-glass-noun-1,2352289143,1,1,0
Every time I eat I have to watch a programme like my 600lb life to remind me to not eat bad food.,1523589406,harm,care,synset-food-noun-1,1523589406,1,1,0
Every time I go to the bar I am tempt to cheat on my girlfriend.,3314423347,harm betrayal,cheating,cheat_59000100,3314423347,2,1,0
Every time I put my lunch tray away in the cafeteria.. I leave the silverware on the tray.,2858688494,degradation,care,synset-lunch-noun-1,2858688494,1,1,0
"Every time Jan and Susan go out to lunch, Susan show up late.",2580944236,cheating,care,synset-lunch-noun-1,2580944236,1,1,0
Every time i hear a plane go by i think its a nuke thats go to drop in my city.,1198529383,harm,fairness,regard,1198529383,1,1,0
"Everyone keep say Emma look slimmer, but she didn't see it.",2215843047,harm,care oppression,synset-keep-verb-1,2215843047,1,2,0
Everyone think I am be manipulative by say I am suicidal just because I didnt go through with it.,2891653822,harm,fairness,regard,2891653822,1,1,0
Everyone think I’m good at what I do and that I have it altogether but..,106830511,cheating,fairness,regard,106830511,1,1,0
Ex husband cheat with several woman for several years... ALL I WANT IS HIM.,4243331331,harm cheating,subversion harm,synset-swindle-noun-1 offenses,4243331331,2,2,1
Ex manipulate his power to berate me over anger issue that be always his own.,1302535176,harm,authority,synset-power-noun-1,1302535176,1,1,0
Finally I place him in a pile of pillow on the floor and he calmed.,365434686,harm,loyalty harm,synset-floor-noun-1 cometogether synset-pile-noun-1,365434686,1,2,1
"For my egotistical self, I break an innocent person's heart by ghost her.",3382254121,harm cheating,fairness harm,experiencebodilyharm causeharm synset-innocent-adjective-1 break_45010000,3382254121,2,2,1
"For year as a defense mechanism, I find way not to respond to how be you? so I wouldn't be lie.",917905621,cheating betrayal,care,synset-defense-noun-1 synset-detect-verb-1 defend,917905621,2,1,0
Forbes 30 under 30 Tech Millionaire Chris Kelsey Reveals My Biggest Scams.,2865699207,cheating,betrayal,revealsecret,2865699207,1,1,0
Francine lock the child in their room and give them no food.,2486179172,harm subversion,care,synset-food-noun-1,2486179172,2,1,0
Frequently when I want people to like me and they tell unfunny joke I think of good joke and laugh sincerely.,2155095916,harm betrayal,fairness,regard,2155095916,2,1,0
Friend With Early Dementia Avoids Helping Around the House.,2066552098,harm,care,help_72000100 assistance,2066552098,1,1,0
Friends Refuse to Play Their Part in Drama Queen's Illness.,1941443774,cheating,loyalty,synset-play-verb-1,1941443774,1,1,0
Gary find out the strange man he didn't know be his friend.,1986925781,harm,care,synset-detect-verb-1,1986925781,1,1,0
Girlfriend Is Convinced That Partner's Parents Dislike Her.,2229146930,harm,fairness loyalty,synset-disfavor-noun-2 synset-spouse-noun-1 inclination,2229146930,1,2,0
Guillermo think if he hack the game he would receive rewards.,2912687646,cheating,harm,synset-chop-verb-5,2912687646,1,1,0
Had a Massage on a Well-Known Cruise Line and Had My Lady Parts Stroked.,1893341299,subversion,care,cure synset-massage-noun-1,1893341299,1,1,0
Hate with a passion people agree with you just to cut conversation short.,3744406317,cheating,fairness harm,causeharm synset-agree-verb-1 synset-cut-verb-1,3744406317,1,2,0
Hating and actively avoid a mentally challenged guy at my college.,766777386,harm,harm,hate_31020100,766777386,1,1,1
Haven’T talk to my parent in year and I regret it everyday.,3509786274,harm subversion,authority,synset-parent-noun-1,3509786274,2,1,0
He accelerate until he reach the speed limit and push it further.,79370114,subversion,oppression,synset-limit-noun-1,79370114,1,1,0
He accidently break a glass trinket that belong to his sister.,3324450470,harm,care harm,experiencebodilyharm causeharm synset-glass-noun-1 break_45010000,3324450470,1,2,1
He find out it is chicken pox when he give it to three people.,2857506273,degradation,care,synset-detect-verb-1,2857506273,1,1,0
He find out one day when he get home and the police be there.,2374898988,subversion degradation,care,synset-police-noun-1 synset-detect-verb-1,2374898988,2,1,0
He give her a kiss on the check and notice something different.,3177256599,degradation,care,synset-detect-verb-1,3177256599,1,1,0
He go to a fast food restaurant but they didn't have a dollar menu.,497948588,harm degradation,care,synset-food-noun-1,497948588,2,1,0
He have an appetite for a breakfast sandwich from Burger King.,3094025787,harm,care,synset-breakfast-noun-1,3094025787,1,1,0
"He have only his mother, and even she think he would be guilty.",3322025565,betrayal,fairness care,synset-mother-noun-1 regard,3322025565,1,2,0
"He hide and run a lot, not confident that he could fight well.",2691962304,harm,loyalty harm,synset-batch-noun-2 hostileencounter synset-contend-verb-6,2691962304,1,2,1
He is laugh look back when he didn't notice a can in front.,1647318109,harm,care harm,synset-detect-verb-1 synset-front-noun-1,1647318109,1,2,1
He is then prescribe special lotion and now his skin be better.,3667990217,harm,harm,synset-skin-noun-1,3667990217,1,1,1
He kick her out of the car for threaten him and pick a fight.,2397181230,betrayal degradation harm,harm,synset-fight-noun-2 hostileencounter,2397181230,3,1,1
He know he shouldn't eat what wasn't his but he is starving.,2226918728,cheating,harm,killing death starve_40070000,2226918728,1,1,0
He lose his balance however and fell crash through the branches.,3970766664,harm,harm,synset-lose-verb-1 attack lose_13020000,3970766664,1,1,1
He lose his job this year and couldn't afford to go this year.,2926712286,subversion,harm,synset-lose-verb-1 lose_13020000,2926712286,1,1,0
"He play on FB, which give you notification and interrupt the game.",53745568,cheating,loyalty,synset-play-verb-1,53745568,1,1,0
He shake the vending machine to try to get his chip to fall.,2345473336,cheating,harm,synset-bit-noun-2,2345473336,1,1,0
He spend the night in prison for a cause he didn't even know.,2591757680,subversion,oppression,prison synset-prison-noun-1,2591757680,1,1,0
He tell Abby and a doctor he would play a game non stop for four days.,1461196920,harm,care loyalty,synset-doctor-noun-1 synset-play-verb-1,1461196920,1,2,0
He tell the bos his daughter have be kill in India by her husband.,88086300,harm,harm,synset-killing-noun-2,88086300,1,1,1
"He try to talk to President Bush, but an undercover cop pull up.",3758429908,subversion,care,synset-bull-noun-5,3758429908,1,1,0
He use to take them to a fast food place and spend eleven dollars!.,376641404,harm degradation,care,synset-food-noun-1,376641404,2,1,0
He would crack the plastic when he would slam it down too hard.,3594655385,harm,harm,causeharm synset-crack-verb-1 crack_18030000,3594655385,1,1,1
Her husband think her obsession with cat have get out of hand.,3442218597,harm,fairness,regard,3442218597,1,1,0
Her mom be upset about her wasting food after her hard work.,2442270113,harm,care,synset-food-noun-1,2442270113,1,1,0
Her mother give her pink and red nail polish to use as paints.,3139769901,degradation,care,synset-mother-noun-1,3139769901,1,1,0
His bos have tell him that a certain horse would win the race.,3055425048,cheating,care,synset-horse-noun-1 assistance,3055425048,1,1,0
His friend convince him that it is not violence when it is self defense.,3114015229,harm,care harm,synset-violence-noun-1 defend synset-defense-noun-1,3114015229,1,2,1
His mother forget that she need to work therefore can't go with him.,1486362749,cheating harm,care,synset-mother-noun-1,1486362749,2,1,0
His mother pull over to give him a hug and tell him she love him.,4264564450,harm subversion,care,synset-mother-noun-1,4264564450,2,1,0
His parent do not want him to play outside because it is dangerous.,929110120,harm,authority loyalty,synset-parent-noun-1 synset-play-verb-1,929110120,1,2,0
"His sister come home and panicked, she couldn't find her barbie.",3939374781,harm,care,synset-detect-verb-1,3939374781,1,1,0
His uncle convince him that he should be a rock star instead.,2851804643,cheating subversion,harm,synset-rock-noun-1 causeharm,2851804643,2,1,0
His wife give him some advice that help him get over his negativity.,1180571811,harm,care,synset-help-verb-1 help_72000100 assistance,1180571811,1,1,0
Honest Teen Loses Motivation as Classmates Win by Cheating.,2274170220,cheating,cheating harm,lose_13020000 cheat_59000100 attack,2274170220,1,2,1
Husband'S Letters to Old Flame Continue to Fuel Widow's Anger.,2923173277,harm,care,supply synset-fuel-verb-1,2923173277,1,1,0
I A float jellyfish stung Sandy while she play in the ocean.,2289571158,harm,loyalty harm,causeharm synset-play-verb-1,2289571158,1,2,1
I Admitted Hypochondriac Seeks a Cure for Her Fear of Dying.,2257130702,harm,betrayal care harm,synset-fear-noun-1 revealsecret synset-remedy-noun-2 cure,2257130702,1,3,1
I Almost gun down some hiker while work in the marijuana industry.,465770559,harm,harm,synset-gun-verb-1,465770559,1,1,1
I Already think about another woman - 1 year into our marriage.,3357808205,betrayal,fairness,regard,3357808205,1,1,0
I Beat Up My Daughter's Boyfriend And Now She is Mad At Me.,1191973675,harm,harm,synset-beat-verb-1,1191973675,1,1,1
"I Being a transgender woman isn’t easy, I face oppression every day, and today I snap.",2699567106,betrayal,harm,synset-oppression-noun-1 synset-confront-verb-2 hostileencounter,2699567106,1,1,0
"I Being the vindictive sort, Billy steal their wifi password.",2739541562,harm,harm,synset-revengeful-adjectivesatellite-1 revenge,2739541562,1,1,1
"I Blackmailing didn't work, so he start follow and harass him.",2971801090,cheating,harm,synset-harass-verb-1 harass_59000100,2971801090,1,1,0
I Cheating Husband Bad-Mouths Wife Who Left Him for Another.,1955468462,harm betrayal,cheating,cheat_59000100,1955468462,2,1,0
I Common fly to Hawaii and Charles' mother be his attendant.,2014909723,harm,care,assistance synset-attendant-noun-1 synset-mother-noun-1,2014909723,1,1,0
I Constantly think of lodge a.45 caliber hollow point into my skull...,1929844917,harm,fairness,regard,1929844917,1,1,0
I Do you guy sometimes have the urge to scream and destroy every object that be near you. Just out frustration. Cause I do.,3136891915,harm,harm,synset-destroy-verb-1 destroying destroy_44000000,3136891915,1,1,1
I Ending my life today and can't get over the guilt of hurt my sister.,1552357550,harm,harm,synset-injury-noun-1,1552357550,1,1,1
I Esgtranged from farther who be die and I couldn't care less...,3737523725,harm,harm,death die_48020000 synset-die-verb-1,3737523725,1,1,1
"I Estranged from worthless father who deserve a slow death, part II.",1615730795,harm,harm,death synset-death-noun-1,1615730795,1,1,1
"I Family think my sister move in with me so she can save money, in reality it is so we can keep sleeping together.",279062691,cheating,fairness care oppression,synset-keep-verb-1 regard,279062691,1,3,0
I Father Opposed to Wedding Is Brought to His Senses by Wife.,2434864422,subversion harm betrayal cheating,loyalty,takingsides,2434864422,4,1,0
I Found out my girlfriend of 5 year make out with a coworker. I have be cheat on her for a month.,1943740803,cheating betrayal,cheating,cheat_59000100,1943740803,2,1,1
I Have be have the same reoccurring dream in which I am brutally murder innocent and smiling. Ignore my username.,3983747253,harm,harm,offenses killing synset-murder-noun-1,3983747253,1,1,1
I Have to make a desicion about my career that could ruin multiple people's life.,2446531856,harm,harm,destroying synset-destroy-verb-2 ruin_44000000,2446531856,1,1,1
I Is get off to people that cheat on their SO with me a bad thing?.,94443191,cheating,cheating,cheat_59000100,94443191,1,1,1
I Is it normal to tear up when look at picture of yourself? Because I have.,3828423256,harm,harm oppression,synset-tear-verb-1 experiencebodilyharm,3828423256,1,2,1
I Joined a prestigious university by cheat and my life have never be worse.,286137158,cheating,subversion harm,synset-swindle-noun-1 offenses,286137158,1,2,0
I Just get into a fight with one of my SOs after she refuse to validate and instead insulted my identity..,3310495203,harm,harm,synset-fight-noun-2 hostileencounter,3310495203,1,1,1
I Kicked My Oldest Daughter To The Curb And I Do Not Regret It.,2605454494,harm,harm,causeharm kick_18020000,2605454494,1,1,1
I Knowing that !!Iron Man die in End Game!! I really don't want to want to watch it now.,4275248456,cheating betrayal degradation,harm,death die_48020000 synset-die-verb-1,4275248456,3,1,0
I Listening to my classmate struggle over material I know secretly make me feel superior.,3289587931,harm subversion,harm,synset-struggle-noun-1,3289587931,2,1,1
I Looking up the movie on Wikipedia ruin the plot but I do it anyways.,1863653587,harm,harm,synset-destroy-verb-2 ruin_44000000,1863653587,1,1,1
I Lost Letters From Late Brother Spark Family Disagreement.,1827738920,harm subversion,harm,lose_13020000 attack,1827738920,2,1,1
I Lost my mom wed ring which end up be the root cause of her divorce.,1124079653,harm,harm,lose_13020000 attack,1124079653,1,1,1
"I Lying in bed, Javier remembers that he didn't brush his teeth.",3419608678,harm,care,supply synset-bed-noun-1,3419608678,1,1,0
I Not sure this be the right place for this. Thought of a disturbing revenge plan.,2866683203,harm,harm,revenge synset-retaliation-noun-1,2866683203,1,1,1
I Please do not judge me for I am merely a mortal with weakness and flaw like everybody else - I am sick and I do need help!!!.,47786777,harm,care,assistance synset-aid-noun-2,47786777,1,1,0
"I Reading all these story about bad relationships, cheating, abuse, etc. be make me scared of commitment.",3353945480,harm cheating betrayal,harm,synset-maltreatment-noun-1 abusing,3353945480,3,1,1
I Sleeping in a Walmart bathroom instead of my car tonight.,1935349041,harm,care,synset-bathroom-noun-1,1935349041,1,1,0
"I Starting my shift and I can't wait to go home I am tired, please help!!!.",3427997929,harm,care harm,assistance attack synset-aid-noun-2 please_31010000,3427997929,1,2,1
I Struggling more than I think and more than I would like to admit.,680859551,harm betrayal,betrayal fairness,revealsecret regard,680859551,2,2,1
"I Struggling with my depression, I felt the need to seek out help.",497096581,harm,care,assistance synset-aid-noun-2,497096581,1,1,0
I Taking care of my family be not enough to fulfill me in life.,3159561734,betrayal,care,synset-care-noun-1,3159561734,1,1,0
I There be a puddle on the road by this bus stop and I purposefully drive through it and soak a child and his mother wait for the bus.,1781739390,harm,care,synset-mother-noun-1,1781739390,1,1,0
I There's a Whole Lot of Fakin' Going on in American Bedrooms.,2122519777,cheating degradation,loyalty,synset-batch-noun-2,2122519777,2,1,0
"I There’s some people I hate so much, that I’d be able to watch them bleed out in front of me.",130687892,harm,harm,hate_31020100 synset-hate-verb-1 synset-front-noun-1,130687892,1,1,1
I Think Modern Day Feminism Is Cancer And It is Destroying Relationships In The Western World.,153100570,harm,fairness harm,destroying regard destroy_44000000,153100570,1,2,1
I Thinking back I don't know if I am desensitize due to childhood abuse or have sociopathic tendency.,30221354,harm,fairness harm,synset-maltreatment-noun-1 synset-inclination-noun-1 regard inclination abusing,30221354,1,2,1
"I Thinking he could make it, Adrian pull out in front of the log truck.",2035292388,harm,fairness harm,synset-log-noun-1 regard synset-front-noun-1,2035292388,1,2,1
"I Thinking they wouldn't get swept away, they get in the creek.",3568440943,harm cheating,fairness,regard,3568440943,2,1,0
"I This cause the door to break, distract them from their fight.",3283293816,harm,harm,causeharm hostileencounter break_45010000 synset-fight-noun-2 experiencebodilyharm,3283293816,1,1,1
"I Traded handjobs with my best friend in middle school. I don’t regret the act, but I do regret that it ruin our friendship.",1153904030,betrayal degradation,harm,destroying synset-destroy-verb-2 ruin_44000000,1153904030,2,1,0
"I Whenever calibrate a new game or reach a super dark and scary level, I CHEAT and crank up the brightness.",3655935270,cheating,cheating care,synset-superintendent-noun-2 cheat_59000100,3655935270,1,2,1
"I Whenever there’s a mass shooting, the first thing I think of be DJ Khaleed say “another one”.",2181834317,harm,fairness,regard,2181834317,1,1,0
I abruptly kick out a pianist out of an amateur musical comedy project.,2697271823,harm betrayal,harm,causeharm kick_23020000,2697271823,2,1,1
I absolutely loathe a super nice girl I work with who have do nothing to deserve my hatred.,3962642665,cheating,care harm,loathe_31020000 synset-hate-noun-1 synset-superintendent-noun-2,3962642665,1,2,0
I accept my co-worker's Facebook friend request without first notify my girlfriend.,4134149853,subversion,loyalty,collaboration synset-colleague-noun-1,4134149853,1,1,0
I accidentally drop the phone of a girl in the unflushed toilet.,3982104368,cheating,care,synset-telephone-noun-1,3982104368,1,1,0
"I accidentally euthanized my roommate's dog against its will, while my roommate be vacation in Europe.",2594121077,harm subversion betrayal,harm,euthanize_42010000 killing,2594121077,3,1,1
I accidentally lock my father's cat in a room without food or drinking for 2 day.,2837650623,harm,care oppression,lock_22040000 synset-food-noun-1 inhibitmovement,2837650623,1,2,0
I accidentally mow down my best friend dad in a mosh pit a few yeats ago.,3351976385,betrayal,harm,causeharm synset-mow-verb-1,3351976385,1,1,0
I accuse my mother of lying? my holiday be completely ruin and my relationship with my mother sever over this word.,2139368028,betrayal,care harm,destroying synset-ruin-noun-1 synset-mother-noun-1,2139368028,1,2,0
I act normal border on relieve and excite that my wife be leave me.,765073341,harm,care,synset-relieve-verb-1 cure,765073341,1,1,0
I aggressively confront someone in front of their best friend.,3795654435,harm,harm,synset-confront-verb-1 confront_98000000 synset-front-noun-1,3795654435,1,1,1
I almost hit a kid in the parking lot at the park yesterday.,2096502103,harm degradation,loyalty harm,causeharm synset-batch-noun-2 experiencebodilyharm,2096502103,2,2,1
I always correct others when they are wrong or when I think they are wrong.,337386298,cheating,fairness,regard,337386298,1,1,0
I always feel there could be a mass shoot when I go the movie and be constantly on edge.,1650859786,harm degradation,care,supply synset-edge-noun-1,1650859786,2,1,0
I always say ‘Requiescat in pace’ whenever I see anyone have die thanks to assasins creed.,3382453199,harm,harm,death die_48020000 synset-die-verb-1,3382453199,1,1,1
I always try to over tip a breakfast waitress and feel guilty when I can't.,135797455,harm,care harm,synset-can-verb-1 causeharm synset-breakfast-noun-1 preserving,135797455,1,2,1
I am 13 and I get send to detention Friday for ask a question my science teacher couldn't explain.,1690116712,subversion,oppression,synset-detention-noun-1 detaining inhibitmovement,1690116712,1,1,0
"I am 18, and have only ever kiss one girl who I think about every day.",808589289,harm,fairness,regard,808589289,1,1,0
"I am 26, lose sanity. I use drug and people to stay afloat.",965809134,cheating,degradation care harm,synset-lose-verb-1 attack synset-drug-noun-1 lose_13020000,965809134,1,3,0
"I am 40, reasonably successful and I am high the majority of the time.",1250039877,harm,loyalty,synset-majority-noun-1,1250039877,1,1,0
"I am Attached But I Have A HUGE Crush On Someone In Office. Is It Wrong? I am more excited meet my crush, than meet my bf.",1858545706,subversion,loyalty,cometogether,1858545706,1,1,0
I am Developing Feelings For a Close Friend and I Hate Myself for It.,999429992,harm,harm,synset-hate-verb-1 hate_31020100,999429992,1,1,1
I am PROBABLY a target of a kidnapper when I am 6 year old.,802427660,cheating,harm,synset-kidnapper-noun-1 kidnapping,802427660,1,1,0
I am Watching the Eventual Death of my Best Friend's Marriage.,2734822793,betrayal,harm,death synset-death-noun-1,2734822793,1,1,0
